al-malik,Al-Malik
al-malik-full,House Al-Malik
church,The Church
decados-full,House Decados
hawkwood-full,House Hawkwood
hazat-full,House Hazat
imperial,Imperial
league,The League
league-adjective,League
li-halan-full,House Li-Halan
rebels,Rebels
symbiots,Symbiots
vau,The Vau
imperial,Imperial
spy,The Eye
spy-full,The Imperial Eye
spy-adjective,Imperial Eye
fleet,The Fleet
fleet-full,The Imperial Fleet
fleet-adjective,Fleet
stigmata,Stigmata
stigmata-full,The Stigmata Garrison
stigmata-adjective,Stigmata

